equipment_type,total_units,available_units,in_turnaround
EQBD1001,1,0,0
EQBD1002,1,0,0
EQBD1003,1,1,0
EQBD1004,1,0,0
EQBD1005,1,0,0
EQBD1006,1,0,0
EQBD1007,1,0,0
EQBD1008,1,0,0
EQBD1009,1,0,0
EQBD1010,1,0,0
EQBD1011,1,1,0
EQBD1012,1,0,0
EQBD1013,1,1,0
EQBD1014,1,0,0
EQBD1015,1,1,0
EQBD1016,1,0,0
EQBD1017,1,1,0
EQBD1018,1,0,0
EQBD1019,1,0,0
EQBD1020,1,1,0
EQBD1021,1,0,0
EQBD1022,1,1,0
EQBD1023,1,0,0
EQBD1024,1,1,0
EQBD1025,1,0,0
EQBD1026,1,1,0
EQBD1027,1,1,0
EQBD1028,1,1,0
EQBD1029,1,0,0
EQBD1030,1,0,0
EQBK1001,1,0,0
EQBK1002,1,0,0
EQBK1003,1,0,0
EQBK1004,1,0,0
EQBK1005,1,0,0
EQBK1006,1,1,0
EQBK1007,1,1,0
EQBK1008,1,1,0
EQBK1009,1,0,0
EQBK1010,1,1,0
EQBK1011,1,0,0
EQBK1012,1,1,0
EQBK1013,1,0,0
EQBK1014,1,0,0
EQBK1015,1,0,0
EQBK1016,1,0,0
EQBK1017,1,0,0
EQBK1018,1,0,0
EQBK1019,1,0,0
EQBK1020,1,1,0
EQDT1001,1,0,0
EQDT1002,1,0,0
EQDT1003,1,1,0
EQDT1004,1,1,0
EQDT1005,1,0,0
EQDT1006,1,0,0
EQDT1007,1,1,0
EQDT1008,1,0,0
EQDT1009,1,0,0
EQDT1010,1,0,0
EQDT1011,1,0,0
EQDT1012,1,0,0
EQEX1001,1,0,0
EQEX1002,1,1,0
EQEX1003,1,1,0
EQEX1004,1,1,0
EQEX1005,1,1,0
EQEX1006,1,0,0
EQEX1007,1,1,0
EQEX1008,1,0,0
EQEX1009,1,0,0
EQEX1010,1,1,0
EQEX1011,1,1,0
EQEX1012,1,0,0
EQEX1013,1,0,0
EQEX1014,1,1,0
EQEX1015,1,0,0
EQEX1016,1,0,0
EQEX1017,1,0,0
EQEX1018,1,0,0
EQEX1019,1,0,0
EQEX1020,1,0,0
EQEX1021,1,0,0
EQEX1022,1,1,0
EQEX1023,1,1,0
EQEX1024,1,0,0
EQEX1025,1,1,0
EQEX1026,1,0,0
EQEX1027,1,0,0
EQEX1028,1,0,0
EQEX1029,1,1,0
EQEX1030,1,0,0
EQEX1031,1,1,0
EQEX1032,1,0,0
EQEX1033,1,0,0
EQEX1034,1,0,0
EQEX1035,1,1,0
EQEX1036,1,1,0
EQEX1037,1,0,0
EQEX1038,1,0,0
EQEX1039,1,1,0
EQEX1040,1,1,0
EQEX1041,1,1,0
EQEX1042,1,0,0
EQEX1043,1,1,0
EQEX1044,1,1,0
EQEX1045,1,1,0
EQEX1046,1,0,0
EQEX1047,1,1,0
EQEX1048,1,0,0
EQFL1001,1,0,0
EQFL1002,1,0,0
EQFL1003,1,0,0
EQFL1004,1,1,0
EQFL1005,1,1,0
EQFL1006,1,1,0
EQFL1007,1,0,0
EQFL1008,1,1,0
EQFL1009,1,1,0
EQFL1010,1,1,0
EQFL1011,1,0,0
EQFL1012,1,0,0
EQGR1001,1,0,0
EQGR1002,1,1,0
EQGR1003,1,1,0
EQGR1004,1,0,0
EQGR1005,1,1,0
EQGR1006,1,1,0
EQGR1007,1,1,0
EQGR1008,1,0,0
EQGR1009,1,0,0
EQGR1010,1,1,0
EQGR1011,1,0,0
EQGR1012,1,1,0
EQGR1013,1,1,0
EQGR1014,1,0,0
EQGR1015,1,1,0
EQGR1016,1,1,0
EQGR1017,1,0,0
EQGR1018,1,0,0
EQGR1019,1,0,0
EQGR1020,1,0,0
EQRR1001,1,0,0
EQRR1002,1,0,0
EQRR1003,1,0,0
EQRR1004,1,0,0
EQRR1005,1,0,0
EQRR1006,1,0,0
EQRR1007,1,1,0
EQRR1008,1,0,0
EQRR1009,1,1,0
EQRR1010,1,0,0
EQRR1011,1,0,0
EQRR1012,1,1,0
EQRR1013,1,0,0
EQRR1014,1,0,0
EQSS1001,1,1,0
EQSS1002,1,0,0
EQSS1003,1,0,0
EQSS1004,1,1,0
EQSS1005,1,0,0
EQSS1006,1,1,0
EQSS1007,1,1,0
EQSS1008,1,1,0
EQSS1009,1,0,0
EQSS1010,1,0,0
EQSS1011,1,1,0
EQSS1012,1,0,0
EQSS1013,1,1,0
EQSS1014,1,0,0
EQSS1015,1,1,0
EQSS1016,1,0,0
EQSS1017,1,0,0
EQSS1018,1,0,0
EQWL1001,1,0,0
EQWL1002,1,0,0
EQWL1003,1,0,0
EQWL1004,1,0,0
EQWL1005,1,0,0
EQWL1006,1,1,0
EQWL1007,1,0,0
EQWL1008,1,0,0
EQWL1009,1,1,0
EQWL1010,1,1,0
EQWL1011,1,0,0
EQWL1012,1,0,0
EQWL1013,1,1,0
EQWL1014,1,0,0
EQWL1015,1,1,0
EQWL1016,1,1,0
EQWL1017,1,0,0
EQWL1018,1,0,0
EQWL1019,1,1,0
EQWL1020,1,0,0
EQWL1021,1,1,0
EQWL1022,1,1,0
EQWL1023,1,1,0
EQWL1024,1,0,0
EQWL1025,1,1,0
EQWL1026,1,0,0
