date,site_id,equipment_type,rentals_count,rental_month,rental_week,season
2026-05-01,SITE001,Excavator,5,5,18,Dry
2026-05-01,SITE001,Bulldozer,0,5,18,Dry
2026-05-01,SITE001,Wheel Loader,3,5,18,Dry
2026-05-01,SITE001,Motor Grader,3,5,18,Dry
2026-05-01,SITE001,Backhoe Loader,1,5,18,Dry
2026-05-01,SITE001,Skid Steer Loader,2,5,18,Dry
2026-05-01,SITE001,Road Roller,1,5,18,Dry
2026-05-01,SITE001,Dump Truck,1,5,18,Dry
2026-05-01,SITE001,Forklift,2,5,18,Dry
2026-05-01,SITE002,Excavator,2,5,18,Dry
2026-05-01,SITE002,Bulldozer,1,5,18,Dry
2026-05-01,SITE002,Wheel Loader,0,5,18,Dry
2026-05-01,SITE002,Motor Grader,4,5,18,Dry
2026-05-01,SITE002,Backhoe Loader,2,5,18,Dry
2026-05-01,SITE002,Skid Steer Loader,1,5,18,Dry
2026-05-01,SITE002,Road Roller,3,5,18,Dry
2026-05-01,SITE002,Dump Truck,2,5,18,Dry
2026-05-01,SITE002,Forklift,6,5,18,Dry
2026-05-01,SITE003,Excavator,1,5,18,Dry
2026-05-01,SITE003,Bulldozer,1,5,18,Dry
2026-05-01,SITE003,Wheel Loader,2,5,18,Dry
2026-05-01,SITE003,Motor Grader,2,5,18,Dry
2026-05-01,SITE003,Backhoe Loader,1,5,18,Dry
2026-05-01,SITE003,Skid Steer Loader,3,5,18,Dry
2026-05-01,SITE003,Road Roller,4,5,18,Dry
2026-05-01,SITE003,Dump Truck,1,5,18,Dry
2026-05-01,SITE003,Forklift,3,5,18,Dry
2026-05-01,SITE004,Excavator,6,5,18,Dry
2026-05-01,SITE004,Bulldozer,4,5,18,Dry
2026-05-01,SITE004,Wheel Loader,2,5,18,Dry
2026-05-01,SITE004,Motor Grader,0,5,18,Dry
2026-05-01,SITE004,Backhoe Loader,0,5,18,Dry
2026-05-01,SITE004,Skid Steer Loader,2,5,18,Dry
2026-05-01,SITE004,Road Roller,2,5,18,Dry
2026-05-01,SITE004,Dump Truck,2,5,18,Dry
