equipment_id,equipment_type,status,expected_return,inspection_days,maintenance_days,turnaround_buffer_days,available_date
EQEX1001,Excavator,On Rental,2026-07-30,1,2,3,2026-08-02
EQEX1002,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1003,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1004,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1005,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1006,Excavator,On Rental,2026-08-13,1,2,3,2026-08-16
EQEX1007,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1008,Excavator,On Rental,2026-07-25,1,2,3,2026-07-28
EQEX1009,Excavator,On Rental,2026-08-10,1,2,3,2026-08-13
EQEX1010,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1011,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1012,Excavator,On Rental,2026-08-04,1,2,3,2026-08-07
EQEX1013,Excavator,On Rental,2026-08-25,1,2,3,2026-08-28
EQEX1014,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1015,Excavator,On Rental,2026-08-05,1,2,3,2026-08-08
EQEX1016,Excavator,On Rental,2026-08-02,1,2,3,2026-08-05
EQEX1017,Excavator,On Rental,2026-08-17,1,2,3,2026-08-20
EQEX1018,Excavator,On Rental,2026-07-26,1,2,3,2026-07-29
EQEX1019,Excavator,On Rental,2026-08-06,1,2,3,2026-08-09
EQEX1020,Excavator,On Rental,2026-08-11,1,2,3,2026-08-14
EQEX1021,Excavator,On Rental,2026-08-06,1,2,3,2026-08-09
EQEX1022,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1023,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1024,Excavator,On Rental,2026-08-03,1,2,3,2026-08-06
EQEX1025,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1026,Excavator,On Rental,2026-08-10,1,2,3,2026-08-13
EQEX1027,Excavator,On Rental,2026-08-15,1,2,3,2026-08-18
EQEX1028,Excavator,On Rental,2026-08-07,1,2,3,2026-08-10
EQEX1029,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1030,Excavator,On Rental,2026-08-01,1,2,3,2026-08-04
EQEX1031,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1032,Excavator,On Rental,2026-08-12,1,2,3,2026-08-15
EQEX1033,Excavator,On Rental,2026-08-19,1,2,3,2026-08-22
EQEX1034,Excavator,On Rental,2026-08-03,1,2,3,2026-08-06
EQEX1035,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1036,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1037,Excavator,On Rental,2026-07-27,1,2,3,2026-07-30
EQEX1038,Excavator,On Rental,2026-08-17,1,2,3,2026-08-20
EQEX1039,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1040,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1041,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1042,Excavator,On Rental,2026-07-27,1,2,3,2026-07-30
EQEX1043,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1044,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1045,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1046,Excavator,On Rental,2026-08-07,1,2,3,2026-08-10
EQEX1047,Excavator,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQEX1048,Excavator,On Rental,2026-08-18,1,2,3,2026-08-21
EQBD1001,Bulldozer,On Rental,2026-08-21,1,2,3,2026-08-24
EQBD1002,Bulldozer,On Rental,2026-08-10,1,2,3,2026-08-13
EQBD1003,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1004,Bulldozer,On Rental,2026-08-04,1,2,3,2026-08-07
EQBD1005,Bulldozer,On Rental,2026-08-07,1,2,3,2026-08-10
EQBD1006,Bulldozer,On Rental,2026-07-27,1,2,3,2026-07-30
EQBD1007,Bulldozer,On Rental,2026-08-04,1,2,3,2026-08-07
EQBD1008,Bulldozer,On Rental,2026-08-02,1,2,3,2026-08-05
EQBD1009,Bulldozer,On Rental,2026-07-26,1,2,3,2026-07-29
EQBD1010,Bulldozer,On Rental,2026-08-13,1,2,3,2026-08-16
EQBD1011,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1012,Bulldozer,On Rental,2026-08-15,1,2,3,2026-08-18
EQBD1013,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1014,Bulldozer,On Rental,2026-08-08,1,2,3,2026-08-11
EQBD1015,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1016,Bulldozer,On Rental,2026-08-17,1,2,3,2026-08-20
EQBD1017,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1018,Bulldozer,On Rental,2026-08-03,1,2,3,2026-08-06
EQBD1019,Bulldozer,On Rental,2026-08-03,1,2,3,2026-08-06
EQBD1020,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1021,Bulldozer,On Rental,2026-08-08,1,2,3,2026-08-11
EQBD1022,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1023,Bulldozer,On Rental,2026-07-25,1,2,3,2026-07-28
EQBD1024,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1025,Bulldozer,On Rental,2026-08-05,1,2,3,2026-08-08
EQBD1026,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1027,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1028,Bulldozer,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQBD1029,Bulldozer,On Rental,2026-08-06,1,2,3,2026-08-09
EQBD1030,Bulldozer,On Rental,2026-07-22,1,2,3,2026-07-25
EQWL1001,Wheel Loader,On Rental,2026-08-25,1,2,3,2026-08-28
EQWL1002,Wheel Loader,On Rental,2026-08-06,1,2,3,2026-08-09
EQWL1003,Wheel Loader,On Rental,2026-08-02,1,2,3,2026-08-05
EQWL1004,Wheel Loader,On Rental,2026-07-30,1,2,3,2026-08-02
EQWL1005,Wheel Loader,On Rental,2026-08-19,1,2,3,2026-08-22
EQWL1006,Wheel Loader,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQWL1007,Wheel Loader,On Rental,2026-07-27,1,2,3,2026-07-30
EQWL1008,Wheel Loader,On Rental,2026-08-09,1,2,3,2026-08-12
EQWL1009,Wheel Loader,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQWL1010,Wheel Loader,Idle in Yard,2026-08-05,1,2,3,2026-08-08
EQWL1011,Wheel Loader,On Rental,2026-08-03,1,2,3,2026-08-06
