date,city,weather_condition,rain_probability,temperature
2026-05-01,Chennai,Clear,0.13,29
2026-05-01,Vellore,Clear,0.24,35
2026-05-01,Bengaluru,Clear,0.04,37
2026-05-01,Visakhapatnam,Clear,0.21,32
2026-05-01,Coimbatore,Clear,0.14,33
2026-05-01,Vijayawada,Clear,0.18,28
2026-05-01,Hyderabad,Clear,0.22,36
2026-05-01,Pune,Clear,0.05,38
2026-05-01,Mysuru,Clear,0.24,31
2026-05-01,Kochi,Clear,0.02,36
2026-05-02,Chennai,Clear,0.18,38
2026-05-02,Vellore,Clear,0.17,35
2026-05-02,Bengaluru,Clear,0.01,35
2026-05-02,Visakhapatnam,Clear,0.21,36
2026-05-02,Coimbatore,Clear,0.25,31
2026-05-02,Vijayawada,Clear,0.15,35
2026-05-02,Hyderabad,Clear,0.12,36
2026-05-02,Pune,Clear,0.23,37
2026-05-02,Mysuru,Clear,0.1,35
2026-05-02,Kochi,Clear,0.17,28
2026-05-03,Chennai,Clear,0.22,29
2026-05-03,Vellore,Clear,0.13,31
2026-05-03,Bengaluru,Clear,0.08,36
2026-05-03,Visakhapatnam,Clear,0.22,31
2026-05-03,Coimbatore,Clear,0.22,38
2026-05-03,Vijayawada,Clear,0.22,35
2026-05-03,Hyderabad,Clear,0.04,36
2026-05-03,Pune,Clear,0.11,38
2026-05-03,Mysuru,Clear,0.17,34
2026-05-03,Kochi,Clear,0.18,37
2026-05-04,Chennai,Clear,0.14,30
2026-05-04,Vellore,Clear,0.06,38
2026-05-04,Bengaluru,Clear,0.04,31
2026-05-04,Visakhapatnam,Clear,0.14,31
2026-05-04,Coimbatore,Clear,0.24,38
2026-05-04,Vijayawada,Clear,0.12,33
2026-05-04,Hyderabad,Clear,0.08,34
2026-05-04,Pune,Clear,0.13,33
2026-05-04,Mysuru,Clear,0.16,33
2026-05-04,Kochi,Clear,0.17,35
2026-05-05,Chennai,Clear,0.09,30
2026-05-05,Vellore,Clear,0.16,37
2026-05-05,Bengaluru,Clear,0.04,31
2026-05-05,Visakhapatnam,Clear,0.13,33
2026-05-05,Coimbatore,Clear,0.1,34
2026-05-05,Vijayawada,Clear,0.2,33
